"NNC(=O)c1ccccc1O",0.6,152.1524,"C7H8N2O2"
"O=C(OOC(=O)c1ccccc1)c1ccccc1",3.46,242.2306,"C14H10O4"
"C(=N/c1ccccc1)\c1ccccc1",2.82,181.2366,"C13H11N"
"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1",-1.85,454.4444,"C20H22N8O5"
"CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C",2.19,404.5022,"C23H32O6"
"CCOC(N)=O",-0.15,89.0938,"C3H7NO2"
"CNC(C)=O",-1.05,73.0944,"C3H7NO"
"NC=O",-1.51,45.0408,"CH3NO"
"CS(=O)(=O)OCCCCOS(C)(=O)=O",-0.52,246.293,"C6H14O6S2"
"c1ncc2nc[nH]c2n1",-0.37,120.1134,"C5H4N4"
"Sc1ncnc2[nH]cnc12",0.01,152.1734,"C5H4N4S"
"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2",1.03,399.4426,"C22H25NO6"
"c1ccc2[nH]cnc2c1",1.32,118.1378,"C7H6N2"
"CC(=O)c1cccnc1",0.43,121.1384,"C7H7NO"
"CN(CCCl)CCCl",0.91,156.0546,"C5H11Cl2N"
"CS(C)=O",-1.35,78.1288,"C2H6OS"
"CCc1ccncc1",1.65,107.1548,"C7H9N"
"CC(C)(C(=O)O)C(=O)O",0.39,132.1158,"C5H8O4"
"c1ccn2nnnc2c1",-0.09,120.1134,"C5H4N4"
"C=C(C)C1CC=C(C)CC1",4.57,136.2364,"C10H16"
"CC(C)(C)C(=O)C(C)(C)C",3.0,142.2406,"C9H18O"
"CCc1ccc([N+](=O)[O-])cc1",3.03,151.1646,"C8H9NO2"
"CC(C)(C)C#N",1.08,83.1328,"C5H9N"
"CC(=O)C(C)(C)C",1.2,100.1602,"C6H12O"
"CC(O)C(C)(C)C",1.48,102.176,"C6H14O"
"CCc1ccccn1",1.69,107.1548,"C7H9N"
"CCCc1ccncc1",2.1,121.1816,"C8H11N"
"OC/C=C/CO",-0.81,88.106,"C4H8O2"
"NC1(C(=O)O)CCCC1",-2.28,129.1584,"C6H11NO2"
"CC(C)CCO",1.16,88.1492,"C5H12O"
"CCCCCC#N",1.66,97.1596,"C6H11N"
"O=C(O)C1CC1",0.63,86.0902,"C4H6O2"
"Clc1ccc(-c2ccc(Cl)cc2)cc1",5.23,223.1012,"C12H8Cl2"
"CC(C)(Oc1ccc(Cl)cc1)C(=O)O",2.57,214.6481,"C10H11ClO3"
"ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1",6.51,318.0292,"C14H8Cl4"
"CCC(CC)C(=O)O",1.68,116.1596,"C6H12O2"
"Nc1ccccc1CO",-0.05,123.1542,"C7H9NO"
"COCCO",-0.77,76.095,"C3H8O2"
"CC(C)OCCO",0.05,104.1486,"C5H12O2"
"O=[N+]([O-])c1ccc2c3c(cccc13)CC2",3.85,199.2086,"C12H9NO2"
"CC(=O)Nc1ccccc1[N+](=O)[O-]",1.0,180.1628,"C8H8N2O3"
"CC(=O)Nc1cccc([N+](=O)[O-])c1",1.47,180.1628,"C8H8N2O3"
"CC(=O)Nc1ccc([N+](=O)[O-])cc1",1.66,180.1628,"C8H8N2O3"
"O=[N+]([O-])c1ccc(O)cc1",1.91,139.1104,"C6H5NO3"
"O=[N+]([O-])c1ccc(-c2ccccc2)cc1",3.82,199.2086,"C12H9NO2"
"COC(=O)c1cccc([N+](=O)[O-])c1",1.89,181.1476,"C8H7NO4"
"CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O",0.63,390.3432,"C16H22O11"
"Oc1ncnc2[nH]ncc12",-0.55,136.1128,"C5H4N4O"
"O=C1OCc2ccccc21",0.8,134.1342,"C8H6O2"
"CCCCSC#N",2.03,115.1928,"C5H9NS"
"O=C(O)c1ccncc1",0.32,123.111,"C6H5NO2"
"Cc1ccc(N)nc1",1.02,108.1426,"C6H8N2"
"Nc1cc(Cl)ccc1Cl",2.75,162.0182,"C6H5Cl2N"
"Cc1ccc(N)cc1N",0.14,122.1694,"C7H10N2"
"Cc1ccc(N)c(N)c1",0.66,122.1694,"C7H10N2"
"CCCCCC(=O)Nc1ccccc1",3.28,191.2724,"C12H17NO"
"CCCCOC(=O)c1ccccc1O",4.63,194.2298,"C11H14O3"
"ClCC(Br)CBr",2.96,236.3335,"C3H5Br2Cl"
"O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1",1.67,184.108,"C6H4N2O5"
"c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1",4.31,256.3062,"C18H12N2"
"Nc1ccccc1O",0.62,109.1274,"C6H7NO"
"O=[N+]([O-])c1c(O)cccc1O",1.56,155.1098,"C6H5NO4"
"Oc1ccc(Nc2ccccc2)cc1",2.82,185.225,"C12H11NO"
"Nc1ccc(O)cc1",0.04,109.1274,"C6H7NO"
"Nc1cccc(O)c1",0.21,109.1274,"C6H7NO"
"Oc1ccccc1-c1ccccc1",3.09,170.2104,"C12H10O"
"Cc1ccc(O)cc1C",2.23,122.1664,"C8H10O"
"c1ccc(-c2ccccn2)nc1",1.5,156.1866,"C10H8N2"
"O=[N+]([O-])c1cccc(O)c1",2.0,139.1104,"C6H5NO3"
"O=[N+]([O-])c1ccccc1O",1.79,139.1104,"C6H5NO3"
"Oc1c(Cl)cc(Cl)c(Cl)c1Cl",4.45,231.8932,"C6H2Cl4O"
"Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl",5.12,266.3383,"C6HCl5O"
"Oc1ccc(Cl)c(O)c1",1.8,144.5573,"C6H5ClO2"
"CCCCCCc1ccc(O)cc1O",3.45,194.273,"C12H18O2"
"Oc1cccc(O)c1",0.8,110.1122,"C6H6O2"
"Oc1cc(O)cc(O)c1",0.16,126.1116,"C6H6O3"
"Oc1ccccc1O",0.88,110.1122,"C6H6O2"
"NC(=O)N/N=C/c1ccccc1",1.27,163.1786,"C8H9N3O"
"CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C",4.22,316.4826,"C21H32O2"
"CC(=O)Nc1ccc(C=O)cc1",1.25,163.1756,"C9H9NO2"
"CC(C)(c1ccc(O)cc1)c1ccc(O)cc1",3.32,228.2902,"C15H16O2"
"Cc1cccc(C(=O)O)c1O",2.86,152.1494,"C8H8O3"
"O=C(O)/C=C/C=C/c1ccccc1",3.15,174.1988,"C11H10O2"
"Cc1ccccc1N(C)C",2.85,135.2084,"C9H13N"
"Cc1ccc(N(C)C)cc1",2.81,135.2084,"C9H13N"
"Cc1cccc(N(C)C)c1",2.8,135.2084,"C9H13N"
"CCOc1cc(C=O)ccc1O",1.58,166.1762,"C9H10O3"
"CC(C)NC(C)C",1.4,101.1912,"C6H15N"
"CCOc1ccccc1O",1.68,138.1658,"C8H10O2"
"N#CCCCc1ccccc1",2.21,145.2036,"C10H11N"
"Clc1cc(Cl)c(Cl)c(Cl)c1Cl",5.17,250.3389,"C6HCl5"
"Oc1ccc(-c2ccccc2)cc1",3.2,170.2104,"C12H10O"
"OCCOc1ccccc1",1.16,138.1658,"C8H10O2"
"NC(=O)COc1ccccc1",0.76,151.1646,"C8H9NO2"
"CC(=O)COc1ccccc1",1.04,150.1768,"C9H10O2"
"NC(=O)Cc1ccccc1",0.45,135.1652,"C8H9NO"
"COc1cc([N+](=O)[O-])c2ncccc2c1",1.87,204.1848,"C10H8N2O3"
"O=C(c1ccccc1)c1ccc(O)cc1",3.07,198.2208,"C13H10O2"
"CC(C)c1ccc(O)cc1",2.9,136.1932,"C9H12O"
"Cc1cc(C)c(C)c(C)c1C",4.56,148.2474,"C11H16"
"O=C(O)CS",0.09,92.1124,"C2H4O2S"
"CC(C)c1ccc(C(=O)O)cc1",3.4,164.2036,"C10H12O2"
"CC1COC(=O)O1",-0.41,102.0896,"C4H6O3"
"S=C1NCCN1",-0.66,102.1538,"C3H6N2S"
"CC(=O)C1CC1",0.49,84.1176,"C5H8O"
"O=c1cc(CO)occ1O",-0.64,142.111,"C6H6O4"
"OCC(O)C(O)C(O)C(O)CO",-3.1,182.173,"C6H14O6"
"c1ccc2[nH]ccc2c1",2.14,117.15,"C8H7N"
"O=C1c2ccccc2Cc2ccccc21",3.66,194.2324,"C14H10O"
"O=C(O)c1ccccc1-c1ccccc1C(=O)O",2.07,242.2306,"C14H10O4"
"NC(CC(=O)O)c1ccccc1",-1.4,165.1914,"C9H11NO2"
"Nc1cc2ccccc2c2ccccc12",3.56,193.2476,"C14H11N"
"O=C(c1ccccc1)N1CCCCC1",2.2,189.2566,"C12H15NO"
"N#Cc1ccccc1[N+](=O)[O-]",1.02,148.1208,"C7H4N2O2"
"C=CCCCCCCCCC(=O)O",3.86,184.2778,"C11H20O2"
"C/C(=C\c1ccccc1)[N+](=O)[O-]",2.52,163.1756,"C9H9NO2"
"N=C(N)c1ccccc1",0.65,120.1536,"C7H8N2"
"Nc1ccc(/N=N/c2ccccc2)cc1",3.41,197.239,"C12H11N3"
"c1ccc2c(c1)Nc1ccccc1S2",4.15,199.2698,"C12H9NS"
"Oc1cccc2cccnc12",1.85,145.1604,"C9H7NO"
"CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O",6.46,278.4338,"C18H30O2"
"Oc1ccc2ccccc2c1",2.7,144.1726,"C10H8O"
"ClC(Cl)=Nc1ccccc1",2.54,174.0292,"C7H5Cl2N"
"Cn1c(=O)c2nc[nH]c2n(C)c1=O",-0.02,180.1658,"C7H8N4O2"
"O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1",2.12,193.1586,"C9H7NO4"
"CC1=C(C)C(=O)C(C)=C(C)C1=O",2.23,164.2036,"C10H12O2"
"C(=C/c1ccccc1)\c1ccccc1",4.81,180.2488,"C14H12"
"O=C(O)COc1ccc2ccccc2c1",2.53,202.2092,"C12H10O3"
"CCCCCCCN",2.57,115.218,"C7H17N"
"O=Cc1ccc(Cl)cc1",2.1,140.5689,"C7H5ClO"
"Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O",2.12,198.1348,"C7H6N2O5"
"Nc1ccc(C(=O)O)c(O)c1",0.89,153.1372,"C7H7NO3"
"CCN1CCCCC1",1.75,113.2022,"C7H15N"
